     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0    64.0   112.0   144.0   160.0   160.0   144.0   112.0    64.0     0.0
     0.0   112.0   196.0   252.0   280.0   280.0   252.0   196.0   112.0     0.0
     0.0   144.0   252.0   324.0   360.0   360.0   324.0   252.0   144.0     0.0
     0.0   160.0   280.0   360.0   400.0   400.0   360.0   280.0   160.0     0.0
     0.0   160.0   280.0   360.0   400.0   400.0   360.0   280.0   160.0     0.0
     0.0   144.0   252.0   324.0   360.0   360.0   324.0   252.0   144.0     0.0
     0.0   112.0   196.0   252.0   280.0   280.0   252.0   196.0   112.0     0.0
     0.0    64.0   112.0   144.0   160.0   160.0   144.0   112.0    64.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
